Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
396,강동,37.535804,127.132481,['05호선'],POINT (127.132481 37.535804),서울특별시,강동구,성내동
397,길동,37.537801,127.140004,['05호선'],POINT (127.140004 37.537801),서울특별시,강동구,길동
398,굽은다리,37.545477,127.142853,['05호선'],POINT (127.142853 37.545477),서울특별시,강동구,천호동
399,명일,37.55137,127.143999,['05호선'],POINT (127.143999 37.55137),서울특별시,강동구,명일동
400,고덕,37.555004,127.154151,['05호선'],POINT (127.154151 37.555004),서울특별시,강동구,명일동
401,둔촌동,37.527788,127.136248,['05호선'],POINT (127.136248 37.527788),서울특별시,강동구,성내동
402,올림픽공원,37.516078,127.130848,"['05호선', '09호선']",POINT (127.130848 37.516078),서울특별시,송파구,방이동
403,방이,37.508857,127.126133,['05호선'],POINT (127.126133 37.508857),서울특별시,송파구,방이동
404,개롱,37.498079,127.13482,['05호선'],POINT (127.13482 37.498079),서울특별시,송파구,가락동
405,거여,37.493105,127.14415,['05호선'],POINT (127.14415 37.493105),서울특별시,송파구,거여동
406,마천,37.49499,127.152781,['05호선'],POINT (127.152781 37.49499),서울특별시,송파구,마천동
407,응암,37.598605,126.915577,['06호선'],POINT (126.915577 37.598605),서울특별시,은평구,신사동
408,역촌,37.606021,126.922744,['06호선'],POINT (126.922744 37.606021),서울특별시,은평구,녹번동
409,독바위,37.618456,126.933031,['06호선'],POINT (126.933031 37.618456),서울특별시,은평구,불광동
410,구산,37.611377,126.91727,['06호선'],POINT (126.91727 37.611377),서울특별시,은평구,갈현동
411,새절,37.591148,126.913629,['06호선'],POINT (126.913629 37.591148),서울특별시,은평구,신사동
412,증산,37.583876,126.909645,['06호선'],POINT (126.909645 37.583876),서울특별시,은평구,증산동
413,월드컵경기장,37.569532,126.899298,['06호선'],POINT (126.899298 37.569532),서울특별시,마포구,성산동
414,마포구청,37.563515,126.903343,['06호선'],POINT (126.903343 37.563515),서울특별시,마포구,성산동
415,망원,37.556094,126.910052,['06호선'],POINT (126.910052 37.556094),서울특별시,마포구,서교동
416,상수,37.547716,126.922852,['06호선'],POINT (126.922852 37.547716),서울특별시,마포구,상수동
417,광흥창,37.547456,126.931993,['06호선'],POINT (126.931993 37.547456),서울특별시,마포구,창전동
418,대흥,37.547771,126.942069,['06호선'],POINT (126.942069 37.547771),서울특별시,마포구,대흥동
419,녹사평,37.534675,126.986695,['06호선'],POINT (126.986695 37.534675),서울특별시,용산구,용산동4가
420,이태원,37.534488,126.994302,['06호선'],POINT (126.994302 37.534488),서울특별시,용산구,이태원동
421,한강진,37.539631,127.001725,['06호선'],POINT (127.001725 37.539631),서울특별시,용산구,한남동
422,버티고개,37.548013,127.007055,['06호선'],POINT (127.007055 37.548013),서울특별시,중구,신당동
